fldName,fldStatusFromDate,fldStatusToDate,fldStatus,fldNpdidField,fldStatusDateUpdated,datesyncNPD
KRISTIN,17.12.2001,02.11.2005,Approved for production,1854729,28.02.2023,29.05.2024
KRISTIN,03.11.2005,,Producing,1854729,28.02.2023,29.05.2024
KVITEBJØRN,14.06.2000,25.09.2004,Approved for production,1036101,28.02.2023,29.05.2024
KVITEBJØRN,26.09.2004,,Producing,1036101,28.02.2023,29.05.2024
LILLE-FRIGG,06.09.1991,12.05.1994,Approved for production,43583,28.02.2023,29.05.2024
LILLE-FRIGG,13.05.1994,24.03.1999,Producing,43583,28.02.2023,29.05.2024
LILLE-FRIGG,25.03.1999,,Shut down,43583,28.02.2023,29.05.2024
MARIA,04.09.2015,15.12.2017,Approved for production,26465170,28.02.2023,29.05.2024
MARIA,16.12.2017,,Producing,26465170,28.02.2023,29.05.2024
MARTIN LINGE,11.06.2012,29.06.2021,Approved for production,21675447,28.02.2023,29.05.2024
MARTIN LINGE,30.06.2021,,Producing,21675447,28.02.2023,29.05.2024
MARULK,15.07.2010,01.04.2012,Approved for production,18212090,28.02.2023,29.05.2024
MARULK,02.04.2012,,Producing,18212090,28.02.2023,29.05.2024
MIKKEL,14.09.2001,31.07.2003,Approved for production,1630514,28.02.2023,29.05.2024
MIKKEL,01.08.2003,,Producing,1630514,28.02.2023,29.05.2024
MIME,06.11.1992,31.12.1992,Approved for production,43792,28.02.2023,29.05.2024
MIME,01.01.1993,03.11.1993,Producing,43792,28.02.2023,29.05.2024
MIME,04.11.1993,,Shut down,43792,28.02.2023,29.05.2024
MORVIN,25.04.2008,31.07.2010,Approved for production,4966234,28.02.2023,29.05.2024
MORVIN,01.08.2010,,Producing,4966234,28.02.2023,29.05.2024
MUNIN,27.06.2023,,Approved for production,42002476,09.08.2023,29.05.2024
MURCHISON,15.12.1976,27.09.1980,Approved for production,43665,28.02.2023,29.05.2024
MURCHISON,28.09.1980,30.03.2014,Producing,43665,28.02.2023,29.05.2024
MURCHISON,31.03.2014,,Shut down,43665,28.02.2023,29.05.2024
NJORD,12.06.1995,29.09.1997,Approved for production,43751,28.02.2023,29.05.2024
NJORD,30.09.1997,,Producing,43751,28.02.2023,29.05.2024
NORDØST FRIGG,12.09.1980,30.11.1983,Approved for production,43568,28.02.2023,29.05.2024
NORDØST FRIGG,01.12.1983,07.05.1993,Producing,43568,28.02.2023,29.05.2024
NORDØST FRIGG,08.05.1993,,Shut down,43568,28.02.2023,29.05.2024
NORNE,09.03.1995,05.11.1997,Approved for production,43778,28.02.2023,29.05.2024
NORNE,06.11.1997,,Producing,43778,28.02.2023,29.05.2024
NOVA,27.09.2018,28.07.2022,Approved for production,33197696,28.02.2023,29.05.2024
NOVA,29.07.2022,,Producing,33197696,28.02.2023,29.05.2024
ODA,12.05.2017,15.03.2019,Approved for production,29412516,28.02.2023,29.05.2024
ODA,16.03.2019,,Producing,29412516,28.02.2023,29.05.2024
ODIN,18.07.1980,31.03.1984,Approved for production,43610,28.02.2023,29.05.2024
ODIN,01.04.1984,31.07.1994,Producing,43610,28.02.2023,29.05.2024
ODIN,01.08.1994,,Shut down,43610,28.02.2023,29.05.2024
ORMEN LANGE,02.04.2004,12.09.2007,Approved for production,2762452,28.02.2023,29.05.2024
ORMEN LANGE,13.09.2007,,Producing,2762452,28.02.2023,29.05.2024
OSEBERG,05.06.1984,30.11.1988,Approved for production,43625,28.02.2023,29.05.2024
OSEBERG,01.12.1988,,Producing,43625,28.02.2023,29.05.2024
OSEBERG SØR,10.06.1997,04.02.2000,Approved for production,43645,28.02.2023,29.05.2024
OSEBERG SØR,05.02.2000,,Producing,43645,28.02.2023,29.05.2024
OSEBERG ØST,11.10.1996,02.05.1999,Approved for production,43639,28.02.2023,29.05.2024
OSEBERG ØST,03.05.1999,,Producing,43639,28.02.2023,29.05.2024
OSELVAR,19.06.2009,13.04.2012,Approved for production,5506919,28.02.2023,29.05.2024
OSELVAR,14.04.2012,31.03.2018,Producing,5506919,28.02.2023,29.05.2024
OSELVAR,01.04.2018,,Shut down,5506919,28.02.2023,29.05.2024
REV,15.06.2007,23.01.2009,Approved for production,4467554,28.02.2023,29.05.2024
REV,24.01.2009,,Producing,4467554,28.02.2023,29.05.2024
RINGHORNE ØST,10.11.2005,18.03.2006,Approved for production,3505505,28.02.2023,29.05.2024
RINGHORNE ØST,19.03.2006,,Producing,3505505,28.02.2023,29.05.2024
SIGYN,31.08.2001,21.12.2002,Approved for production,1630100,28.02.2023,29.05.2024
SIGYN,22.12.2002,,Producing,1630100,28.02.2023,29.05.2024
SINDRE,27.03.2017,25.05.2017,Approved for production,29401178,28.02.2023,29.05.2024
SINDRE,26.05.2017,,Producing,29401178,28.02.2023,29.05.2024
SKARV,18.12.2007,31.12.2012,Approved for production,4704482,28.02.2023,29.05.2024
SKARV,01.01.2013,,Producing,4704482,28.02.2023,29.05.2024
SKIRNE,05.07.2002,02.03.2004,Approved for production,2138816,28.02.2023,29.05.2024
SKIRNE,03.03.2004,22.06.2023,Producing,2138816,16.08.2023,29.05.2024
SKIRNE,23.06.2023,,Shut down,2138816,16.08.2023,29.05.2024
SKOGUL,23.03.2018,10.03.2020,Approved for production,31164600,28.02.2023,29.05.2024
SKOGUL,11.03.2020,,Producing,31164600,28.02.2023,29.05.2024
SKULD,20.01.2012,18.03.2013,Approved for production,21350124,28.02.2023,29.05.2024
SKULD,19.03.2013,,Producing,21350124,28.02.2023,29.05.2024
SLEIPNER VEST,14.12.1992,28.08.1996,Approved for production,43457,28.02.2023,29.05.2024
SLEIPNER VEST,29.08.1996,,Producing,43457,28.02.2023,29.05.2024
SLEIPNER ØST,15.12.1986,23.08.1993,Approved for production,43478,28.02.2023,29.05.2024
SLEIPNER ØST,24.08.1993,,Producing,43478,28.02.2023,29.05.2024
SNORRE,27.05.1988,02.08.1992,Approved for production,43718,28.02.2023,29.05.2024
SNORRE,03.08.1992,,Producing,43718,28.02.2023,29.05.2024
SNØHVIT,07.03.2002,20.08.2007,Approved for production,2053062,28.02.2023,29.05.2024
SNØHVIT,21.08.2007,,Producing,2053062,28.02.2023,29.05.2024
SOLVEIG,26.06.2019,28.09.2021,Approved for production,34833011,28.02.2023,29.05.2024
SOLVEIG,29.09.2021,,Producing,34833011,28.02.2023,29.05.2024
STATFJORD,16.06.1976,23.11.1979,Approved for production,43658,28.02.2023,29.05.2024
STATFJORD,24.11.1979,,Producing,43658,28.02.2023,29.05.2024
STATFJORD NORD,11.12.1990,22.01.1995,Approved for production,43679,28.02.2023,29.05.2024
STATFJORD NORD,23.01.1995,,Producing,43679,28.02.2023,29.05.2024
STATFJORD ØST,11.12.1990,23.09.1994,Approved for production,43672,28.02.2023,29.05.2024
STATFJORD ØST,24.09.1994,,Producing,43672,28.02.2023,29.05.2024
SVALIN,23.11.2012,23.03.2014,Approved for production,22507971,28.02.2023,29.05.2024
